timestamp,nanoseconds,roll,pitch
1731002531237144512,229792896,-0.05296124844241018,0.03539478945212827
1731002531336425554,329794176,-0.05693946951818748,0.030166060044629343
1731002531438287366,429792128,-0.06069389917165092,0.030812549523817255
1731002531537289864,529790848,-0.06441890277721635,0.031774502464496576
1731002531636227825,629788288,-0.06668972067688313,0.028370324723910573
1731002531737748484,729787776,-0.06443845491936415,0.02746213124898651
1731002531837315631,829786240,-0.07287147405080105,0.033182347438004
1731002531936257570,929787776,-0.06326498906686587,0.0282147516370524
1731002532038066483,29786240,-0.06299198887379688,0.03086148407207118
1731002532137633442,129787008,-0.07105387399075944,0.03136069090376493
1731002532236494565,229788288,-0.08779233766057093,0.02951586047223279
1731002532337855471,329788288,-0.12242910158572162,0.028841182822637323
1731002532438404099,429788800,-0.13940617372516864,0.02965288596488622
1731002532536730510,529790336,-0.16058725250971573,0.026821823420584614
1731002532637952124,629790336,-0.16977972669755312,0.02815640114398312
1731002532737829583,729789056,-0.17880525858114463,0.026273400433202154
1731002532836798179,829790336,-0.17876134246877903,0.02930764613555894
1731002532937874096,929790080,-0.11761268594428666,0.02590975177312582
1731002533038034709,29789312,-0.11235081545992454,0.026886508010393405
1731002533136752703,129790080,-0.09226781408956132,0.03149997414299849
1731002533237825975,229790336,-0.07262507686713289,0.027114308724199263
1731002533337486563,329789568,-0.04814197382714786,0.025565043386940458
1731002533436669276,429787520,-0.046750363987291814,0.027081628280490145
1731002533538132774,529786240,-0.025861434033153132,0.02171719451897818
1731002533638007659,629784448,-0.003204372952002646,0.025925418605393952
1731002533736220844,729782656,-0.004187942079863796,0.030611296490728603
1731002533837970634,829782656,-0.010988891676961689,0.02623510994106432
1731002533937526616,929781376,-0.022217722048710527,0.02825588998876055
1731002534036527755,29779328,-0.02557723860176252,0.02284021957508284
1731002534137953925,129779072,-0.031125756112364775,0.02412738841966312
1731002534236746449,229780352,-0.036258948599253445,0.023449839076577706
1731002534336790971,329781632,-0.03350677905457018,0.028179230810218232
1731002534437925561,429783424,-0.03356360174489323,0.029251157163541895
1731002534537849508,529781888,-0.03307699755195053,0.0293830957271093
1731002534636738426,629783424,-0.035972223006631894,0.015079825419987014
1731002534738001795,729783680,-0.0375719962191558,0.010502216241734773
1731002534837328333,829782656,-0.03416394862003774,0.01009858509267342
1731002534936286237,929784192,-0.033203698397080914,0.015600939077600587
1731002535037743730,29785216,-0.030625878150438098,0.012705723969512668
1731002535137508015,129785984,-0.03174489643063748,0.014016492388268909
1731002535236428480,229784192,-0.029327116632200195,0.01457271951891732
1731002535338165584,329784448,-0.02889503545382759,0.01415752210722208
1731002535437582051,429783680,-0.030187353936400874,0.015026602904962456
1731002535537174809,529784448,-0.027086035020284043,0.013428288704523932
1731002535638033715,629785728,-0.024094430406637203,0.009835815411342947
1731002535738302700,729784192,-0.02995708805386299,0.010351183904229209
1731002535836562756,829782400,-1.2599341703876812e-16,-1.2241383026818522e-16
1731002535938161949,929782656,-1.2558776337455999e-16,-1.2242485113865378e-16
1731002536037703052,29781376,-1.260120338912064e-16,-1.224132921964939e-16
1731002536136654389,129779328,-1.2571271215339052e-16,-1.2242159986373006e-16
1731002536237992122,229779328,-1.2563148073522972e-16,-1.2242372808888762e-16
1731002536337785107,329777792,-1.2579666698593606e-16,-1.2241934360539565e-16
